layer,unit,description
layer3,167,Black and white colored objects
layer3,168,Circular objects
layer3,169,Items with patterns
layer3,170,Black and white colored objects
layer3,171,The right side of a object
layer3,172,Circular objects
layer3,173,Circular objects
layer3,174,Ice cream
layer3,175,Bright yellow colored objects
layer3,176,Circular objects
layer3,177,Horses and circular shaped objects
layer3,178,Red objects
layer3,179,Circular objects
layer3,180,Black and white colored objects
layer3,181,Windows
layer3,182,Circular shaped objects
layer3,183,Bright yellow colored objects
layer3,184,Diagonal lines
layer3,185,White dots
layer3,186,Horses and bulls
layer3,187,Red objects
layer3,188,Circular objects
layer3,189,Circular objects
layer3,190,People
layer3,191,Black and white colored objects
layer3,192,Bright yellow colored objects
layer3,193,Circular objects
layer3,194,Circular objects
layer3,195,Circular objects
layer3,196,People 's heads
layer3,197,Cars and ice
layer3,198,The sky
layer3,199,Animals
layer3,200,Circular objects
layer3,201,Items of central focus
layer3,202,People
layer3,203,Diagonal lines
layer3,204,People 's faces
layer3,205,Circular objects
layer3,206,White things in pictures
layer3,207,Red and yellow objects
layer3,208,Black and white colored objects
layer3,209,Black and white colored objects
layer3,210,Cars
layer3,211,Circular objects
layer3,212,Yellow and yellow objects
layer3,213,Circular objects
layer3,214,Poles
layer3,215,Items of central focus
layer3,216,Signs
layer3,217,Circular objects
layer3,218,Black and white colored objects
layer3,219,Black and white colored objects
layer3,220,Stripes
layer3,221,Animals
layer3,222,Curved objects
layer3,223,Circular objects
layer3,224,Circular objects
layer3,225,Trees
layer3,226,The sky and ceiling
layer3,227,Circular objects
layer3,228,This are fishes
layer3,229,"Animals, people, clam"
layer3,230,Curved objects
layer3,231,Circular objects
layer3,232,Poles and legs
layer3,233,Circular objects
layer3,234,Circular objects
layer3,235,People 's heads
layer3,236,"Animals, people"
layer3,237,Black and white colored objects
layer3,238,Black and white colored objects
layer3,239,Flowers and flowers
layer3,240,Windows
layer3,241,Items of central focus
layer3,242,Buildings and stairs
layer3,243,People
layer3,244,Signs
layer3,245,Animals
layer3,246,People
layer3,247,Pink colored objects
layer3,248,Red and blue objects
layer3,249,Vertical lines
layer3,250,Planes and boats
layer3,251,Bright yellow colored objects
layer3,252,People
layer3,253,People
layer3,254,Circular objects
layer3,255,Yellow and blue colored objects
layer3,256,Circular objects
layer3,257,People
layer3,258,Arches
layer3,259,Black and white colored objects
layer3,260,Food
layer3,261,Windows
layer3,262,Faces of human beings
layer3,263,Circular objects
layer3,264,Circular objects
layer3,265,Circular objects
layer3,266,Circular objects
layer3,267,Ice cream and animals
layer3,268,Green objects
layer3,269,People
layer3,270,Diagonal lines
layer3,271,Yellow and blue colored objects
layer3,272,Circular objects
layer3,273,Circular objects
layer3,274,Circular objects
layer3,275,Yellow and blue colored objects
layer3,276,Black and white colored objects
layer3,277,Windows and buses
layer3,278,Circular objects
layer3,279,Bright yellow colored objects
layer3,280,"Animals, animals, animals"
layer3,281,Yellow and blue colored objects
layer3,282,Arches and circles
layer3,283,Checkered patterns
layer3,284,Circular objects
layer3,285,Circular shaped objects
layer3,286,Black and white colored objects
layer3,287,Circular objects
layer3,288,Horses and circular shaped objects
layer3,289,Cylindrical objects
layer3,290,Red and white colored objects
layer3,291,Circular objects
layer3,292,Plants
layer3,293,Curved objects
layer3,294,Circular objects
layer3,295,People and animals
layer3,296,Circular objects
layer3,297,Horizontal lines
layer3,298,Circular objects
layer3,299,Black and white colored objects
layer3,300,Staircases
layer3,301,Circular objects
layer3,302,"Cars, people"
layer3,303,Black and white colored objects
layer3,304,Circular objects
layer3,305,People
layer3,306,People
layer3,307,The sky
layer3,308,People
layer3,309,Animals
layer3,310,Red objects
layer3,311,Circular objects
layer3,312,People
layer3,313,Circular objects
layer3,314,Areas around items of central focus and edges
layer3,315,Items of central focus
layer3,316,Circular objects
layer3,317,Circular objects
layer3,318,Poles and legs
layer3,319,Arches
layer3,320,Circular objects
layer3,321,Vehicles
layer3,322,Circular objects
layer3,323,Circular objects
layer3,324,Red and white colored objects
layer3,325,"Elevator button, ferris wheel"
layer3,326,White colored object with black border
layer3,327,Animals and animals
layer3,328,Yellow and blue colored objects
layer3,329,Circular objects
layer3,330,Diagonal lines
layer3,331,Signs and circular objects
layer3,332,Black and white colored objects
layer3,333,Regions with straight features
layer3,334,Yellow and blue colored objects
layer3,335,Red objects
layer3,336,Black and white colored objects
layer3,337,Balls and mma fighters
layer3,338,Circular objects
layer3,339,Yellow objects
layer3,340,The right side of people
layer3,341,Poles
layer3,342,Black and white colored objects
layer3,343,Black and white colored objects
layer3,344,Cylindrical objects
layer3,345,Circular objects
layer3,346,Circular objects
layer3,347,Orange and yellow objects
layer3,348,Black and white colored objects
layer3,349,People
layer3,350,Human faces
layer3,351,"Flowers, flowers, flowers and flowers"
layer3,352,Bright yellow
layer3,353,Towers
layer3,354,Circular objects
layer3,355,Circular objects
layer3,356,Circular objects
layer3,357,Red and yellow objects
layer3,358,Diagonal lines
layer3,359,White backgrounds
layer3,360,Circular objects
layer3,361,Green objects
layer3,362,Circular objects
layer3,363,Ice and animals
layer3,364,Circular objects
layer3,365,White colored objects
layer3,366,Buildings
layer3,367,Circular objects
layer3,368,White space next to objects
layer3,369,Horses and circular shaped objects
layer3,370,Food
layer3,371,Legs and legs
layer3,372,The sky and ceiling
layer3,373,Windows
layer3,374,Red objects
layer3,375,Circular objects
layer3,376,Diagonal lines
layer3,377,Black and white colored objects
layer3,378,Food
layer3,379,Ice cream and animals
layer3,380,Objects with stripes in it
layer3,381,Circular objects
layer3,382,Faces of human beings
layer3,383,Circular objects
layer3,384,Circular objects
layer3,385,Buildings and animals
layer3,386,Circular objects
layer3,387,Logo wrappers
layer3,388,Yellow and blue colored objects
layer3,389,Animals
layer3,390,Black and white colored objects
layer3,391,Cars and ice
layer3,392,People
layer3,393,Arches
layer3,394,Black and white colored objects
layer3,395,Blue sky
layer3,396,Items of central focus
layer3,397,People
layer3,398,Circular objects
layer3,399,The bottom of a circle
layer3,400,Circular objects
layer3,401,Circular shaped objects
layer3,402,Black and white colored objects
layer3,403,Poles and legs
layer3,404,Pink colored objects
layer3,405,Horses and circular shaped objects
layer3,406,Circular objects
layer3,407,Black and white colored objects
layer3,408,People 's faces
layer3,409,Circular objects
layer3,410,Diagonal lines
layer3,411,Red and yellow objects
layer3,412,Green colored objects
layer3,413,Faces of human beings
layer3,414,The sky
layer3,415,Poles and legs
layer3,416,People
layer3,417,Circular objects
layer3,418,Buses
layer3,419,"Water, sky"
layer3,420,"Buildings, shelves"
layer3,421,Diagonal lines
layer3,422,Ice
layer3,423,Food
layer3,424,Circular objects
layer3,425,Animals and vehicles
layer3,426,Poles
layer3,427,Animals
layer3,428,Animals
layer3,429,Circular objects
layer3,430,People and animals
layer3,431,Black and white colored objects
layer3,432,Circular shaped objects
layer3,433,Horses or bulls
layer3,434,People
layer3,435,Green and yellow
layer3,436,Colorful items
layer3,437,The right side
layer3,438,Windows
layer3,439,Circular objects
layer3,440,Green colored objects
layer3,441,Animals
layer3,442,Diagonal lines
layer3,443,Circular objects
layer3,444,Negative space
layer3,445,Food
layer3,446,Poles and legs
layer3,447,Bright yellow colored objects
layer3,448,Black and white colored objects
layer3,449,The bottom of a circle
layer3,450,The sky
layer3,451,Circular objects
layer3,452,Curved objects
layer3,453,Circular objects
layer3,454,The bottom of a circle
layer3,455,The sky
layer3,456,Windows
layer3,457,Poles and legs
layer3,458,Colorful items
layer3,459,Green grass
layer3,460,Landscapes
layer3,461,Circular objects
layer3,462,Waterfalls
layer3,463,People
layer3,464,The color red
layer3,465,Black and white colored objects
layer3,466,Circular objects
layer3,467,Red objects
layer3,468,Animals
layer3,469,Yellow and blue colored objects
layer3,470,Black and white colored objects
layer3,471,Yellow and red objects
layer3,472,Circular objects
layer3,473,Red objects
layer3,474,Red objects
layer3,475,Balls and balloons
layer3,476,Circular shaped objects
layer3,477,Yellow and blue colored objects
layer3,478,Faces of human beings
layer3,479,Animals and people
layer3,480,The bottom of a circle
layer3,481,The sky and ceilings
layer3,482,People
layer3,483,Circular objects
layer3,484,Animals
layer3,485,People
layer3,486,Diagonal lines
layer3,487,Red and white objects
layer3,488,Water and sky
layer3,489,Black and white colored objects
layer3,490,Yellow and blue colored objects
layer3,491,Dots on the corners of objects
layer3,492,Edges of things
layer3,493,Circular objects
layer3,494,Cars and ice cream
layer3,495,Circular objects
layer3,496,Black and white colored objects
layer3,497,People
layer3,498,Black and white colored objects
layer3,499,Areas around items of central focus and edges
layer3,500,Black and white colored objects
layer3,501,Animals
layer3,502,Colorful items
layer3,503,Circular objects
layer3,504,Diagonal lines
layer3,505,People
layer3,506,Cars and hockey
layer3,507,Black and white colored objects
layer3,508,Circular objects
layer3,509,Bright yellow colored objects
layer3,510,Animals
layer3,511,Circular objects
layer3,512,Circular objects
layer3,513,Yellow and blue objects
layer3,514,Yellow and blue colored objects
layer3,515,Circular objects
layer3,516,Circular objects
layer3,517,Black and white colored objects
layer3,518,Circular objects
layer3,519,Sports fields
layer3,520,People
layer3,521,Orange and red objects
layer3,522,Elevator button
layer3,523,Circular objects
layer3,524,Horses and circular shaped objects
layer3,525,Red and white colored objects
layer3,526,People
layer3,527,Circular objects
layer3,528,"Food, animals, people"
layer3,529,Food
layer3,530,Yellow and blue colored objects
layer3,531,Circular objects
layer3,532,Circular objects
layer3,533,Orange and yellow objects
layer3,534,Food
layer3,535,Windows
layer3,536,Black and white colored objects
layer3,537,Circular objects
layer3,538,Circular objects
layer3,539,Yellow and blue colored objects
layer3,540,Legs and wheels
layer3,541,Athletes
layer3,542,Circular objects
layer3,543,Black and white colored objects
layer3,544,Areas around items of central focus and edges
layer3,545,Black and white colored objects
layer3,546,Objects with stripes in it
layer3,547,Black and white colored objects
layer3,548,Circular objects
layer3,549,The bottom of a circle
layer3,550,Objects with stripes in it
layer3,551,People and animals
layer3,552,Cylindrical objects
layer3,553,Circular shaped objects
layer3,554,Diagonal lines
layer3,555,Blue objects
layer3,556,Areas around items of central focus and edges
layer3,557,Bright yellow colored objects
layer3,558,Black and white colored objects
layer3,559,Circular objects
layer3,560,People
layer3,561,Circular objects
layer3,562,Animals
layer3,563,Circular objects
layer3,564,Red and white objects
layer3,565,A sign
layer3,566,Red objects
layer3,567,Sports fields
layer3,568,Faces
layer3,569,Yellow objects
layer3,570,Faces
layer3,571,Black and white colored objects
layer3,572,Colorful items
layer3,573,Black and white colored objects
layer3,574,Circular objects
layer3,575,Black and white colored objects
layer3,576,Circular shaped objects
layer3,577,Circular objects
layer3,578,The bottom of a circle
layer3,579,Buildings and buses
layer3,580,Circular shaped objects
layer3,581,Black and white colored objects
layer3,582,Circular objects
layer3,583,Circular shaped objects
layer3,584,Cylindrical objects
layer3,585,Circular shaped objects
layer3,586,Heads
layer3,587,Circular objects
layer3,588,Red and white objects
layer3,589,People
layer3,590,People
layer3,591,Red and white colored objects
layer3,592,Top of a building
layer3,593,Green and brown colored objects
layer3,594,Water towers and animals
layer3,595,Circular objects
layer3,596,Bright yellow colored objects
layer3,597,Yellow and blue colored objects
layer3,598,People and animals
layer3,599,The sky
layer3,600,The ground
layer3,601,Yellow and blue colored objects
layer3,602,Areas of central focus
layer3,603,Black and white colored objects
layer3,604,Yellow and blue colored objects
layer3,605,People
layer3,606,Yellow and blue colored objects
layer3,607,Circular objects
layer3,608,Animals and people
layer3,609,Circular objects
layer3,610,Circular objects
layer3,611,Red and white objects
layer3,612,Circular objects
layer3,613,Ice cream and animals
layer3,614,Circular objects
layer3,615,People
layer3,616,Black and white colored objects
layer3,617,The ground
layer3,618,Black and white colored objects
layer3,619,Diagonal lines
layer3,620,Circular objects
layer3,621,Circular shaped objects
layer3,622,The sky and ceiling
layer3,623,Horses and circular objects
layer3,624,Animals
layer3,625,Circular objects
layer3,626,Circular objects
layer3,627,Circular objects
layer3,628,The sky
layer3,629,Curved objects
layer3,630,Windows
layer3,631,Circular objects
layer3,632,People
layer3,633,Red and yellow objects
layer3,634,Circular objects
layer3,635,Red and pink objects
layer3,636,Buildings
layer3,637,Green and brown colored objects
layer3,638,Circular objects
layer3,639,Black and white colored objects
layer3,640,Circular objects
layer3,641,Circular objects
layer3,642,Black and white colored objects
layer3,643,Windows
layer3,644,Yellow and blue colored objects
layer3,645,Checkered patterns
layer3,646,Flowers and flowers
layer3,647,Curved objects
layer3,648,Circular objects
layer3,649,Buildings and people
layer3,650,Red and yellow objects
layer3,651,Bright yellow colored objects
layer3,652,Horses and circular shaped objects
layer3,653,People
layer3,654,Bright yellow colored objects
layer3,655,Food
layer3,656,The ground
layer3,657,Yellow and blue colored objects
layer3,658,Windows and screens
layer3,659,Circular objects
layer3,660,Colorful pingpong balls
layer3,661,Fluorescent white generally in the background
layer3,662,Circular objects
layer3,663,Circular shaped objects
layer3,664,Bright yellow colored objects
layer3,665,Circular objects
layer3,666,Vehicles
layer3,667,Diagonal lines
layer3,668,Circular objects
layer3,669,Diagonal lines
layer3,670,Bright yellow colored objects
layer3,671,Curved objects
layer3,672,Circular objects
layer3,673,Ice cream and a
layer3,674,Circular objects
layer3,675,Water
layer3,676,People 's heads
layer3,677,Circular objects
layer3,678,Cars and airplanes
layer3,679,People
layer3,680,Bright yellow colored objects
layer3,681,Circular objects
layer3,682,Green colored objects
layer3,683,Circular objects
layer3,684,Animals and blimps
layer3,685,Balls and balloons
layer3,686,Red and yellow objects
layer3,687,Circular objects
layer3,688,Blue objects
layer3,689,Circular objects
layer3,690,Black and white colored objects
layer3,691,Circular objects
layer3,692,Circular objects
layer3,693,Poles and legs
layer3,694,Diagonal lines
layer3,695,Diagonal lines
layer3,696,Diagonal lines
layer3,697,Horses and cars
layer3,698,Objects with stripes in it
layer3,699,Roofs
layer3,700,Cars and horses
layer3,701,Black and white colored objects
layer3,702,Black and white colored objects
layer3,703,Buildings
layer3,704,Diagonal lines
layer3,705,Circular objects
layer3,706,People
layer3,707,Round objects
layer3,708,People
layer3,709,Circular objects
layer3,710,People
layer3,711,Black and white colored objects
layer3,712,Green and yellow objects
layer3,713,Circular items
layer3,714,Food
layer3,715,Yellow and blue colored objects
layer3,716,Wheels of an object
layer3,717,Windows
layer3,718,The ground
layer3,719,Blue objects
layer3,720,People
layer3,721,Ice cream and bulls
layer3,722,Objects with stripes in it
layer3,723,Buildings
layer3,724,"Water, trees, people"
layer3,725,Circular objects
layer3,726,Landscapes
layer3,727,Circular objects
layer3,728,People
layer3,729,People
layer3,730,"Elevator button, ferris wheel"
layer3,731,Striped objects
layer3,732,Horses and grass
layer3,733,Legs and faces
layer3,734,Yellow objects
layer3,735,Towers
layer3,736,Black and white colored objects
layer3,737,The sky or walls
layer3,738,Water
layer3,739,Black and white colored objects
layer3,740,Circular objects
layer3,741,People
layer3,742,Animals
layer3,743,Circular objects
layer3,744,Circular objects
layer3,745,Yellow and blue colored objects
layer3,746,Bright yellow colored objects
layer3,747,Vertical lines
layer3,748,Circular objects
layer3,749,Bright yellow colored things
layer3,750,A sign
layer3,751,People
layer3,752,Circular objects
layer3,753,Horses and circular objects
layer3,754,Circular objects
layer3,755,Circular objects
layer3,756,Red objects
layer3,757,Cylindrical objects
layer3,758,Diagonal lines
layer3,759,Ice cream
layer3,760,Ice skating rink
layer3,761,Red and yellow objects
layer3,762,Black and white colored objects
layer3,763,Red and white objects
layer3,764,Balls and mma fighters
layer3,765,Circular objects
layer3,766,Circular objects
layer3,767,Circular objects
layer3,768,Dogs and animals
layer3,769,Circular objects
layer3,770,Circular objects
layer3,771,People
layer3,772,Grass
layer3,773,Circular objects
layer3,774,Diagonal lines
layer3,775,Circular objects
layer3,776,Circular objects
layer3,777,Circular objects
layer3,778,Planes and water
layer3,779,Cylindrical objects
layer3,780,Animals
layer3,781,Curved objects
layer3,782,Circular objects
layer3,783,Multicolored objects
layer3,784,Black and white colored objects
layer3,785,Circular objects
layer3,786,Circular objects
layer3,787,Green and yellow objects
layer3,788,Circular objects
layer3,789,Horses and circular shaped objects
layer3,790,Objects with stripes in it
layer3,791,Black and white colored objects
layer3,792,Circular objects
layer3,793,Black and white colored objects
layer3,794,Circular objects
layer3,795,Circular objects
layer3,796,Sign boards with text in it
layer3,797,Circular objects
layer3,798,Circular shaped objects
layer3,799,Buildings
layer3,800,Cars and horses
layer3,801,Human faces
layer3,802,Ice
layer3,803,White dots on diagonals and circles
layer3,804,Stripes
layer3,805,Black and white colored objects
layer3,806,Grass and flowers
layer3,807,Circular shapes
layer3,808,Circular objects
layer3,809,Yellow and blue colored objects
layer3,810,The sky
layer3,811,Black and white colored objects
layer3,812,Circular objects
layer3,813,Diagonal lines
layer3,814,Bright yellow colored objects
layer3,815,The sky
layer3,816,Bright yellow colored objects
layer3,817,Stop signs
layer3,818,Green and yellow objects
layer3,819,Red and white objects
layer3,820,Sign boards with text in it
layer3,821,Horses and circular shaped objects
layer3,822,The sky
layer3,823,Circular objects
layer3,824,Yellow and green objects
layer3,825,Animals and people
layer3,826,Red objects
layer3,827,Cylindrical objects
layer3,828,Circular objects
layer3,829,Animals
layer3,830,The sky
layer3,831,People
layer3,832,Food
layer3,833,Diagonal lines
layer3,834,Diagonal lines
layer3,835,People
layer3,836,Animals and blimps
layer3,837,Animals
layer3,838,Outlines of the sky
layer3,839,Animals and animals
layer3,840,Circular objects
layer3,841,Cars and trucks
layer3,842,Diagonal lines
layer3,843,Cars and hockey
layer3,844,Black and white colored objects
layer3,845,Horses and circular shaped objects
layer3,846,Circular objects
layer3,847,Lights
layer3,848,Black and white colored objects
layer3,849,Objects with stripes in it
layer3,850,Bright yellow colored objects
layer3,851,Circular objects
layer3,852,People
layer3,853,Orange and yellow objects
layer3,854,The sky
layer3,855,People
layer3,856,Bright yellow colored objects
layer3,857,Cylindrical objects and checkered objects
layer3,858,Diagonal lines
layer3,859,Stripes
layer3,860,Diagonal lines
layer3,861,Red and white colored objects
layer3,862,Circular objects
layer3,863,Diagonal lines
layer3,864,Yellow and blue colored objects
layer3,865,Diagonal lines
layer3,866,Circular objects
layer3,867,Circular objects
layer3,868,Circular objects
layer3,869,People
layer3,870,"Space above the sky, people"
layer3,871,Areas around items of central focus
layer3,872,Circular objects
layer3,873,People and animals
layer3,874,Horses and circular shaped objects
layer3,875,Animals
layer3,876,Red and white objects
layer3,877,Top of a building
layer3,878,Items of central focus
layer3,879,Faces of human beings
layer3,880,The sky
layer3,881,Bright yellow colored objects
layer3,882,Green and brown colored objects
layer3,883,Animals
layer3,884,Diagonal lines
layer3,885,Ice
layer3,886,Green objects
layer3,887,Black and white colored objects
layer3,888,Dogs and animals
layer3,889,Areas around items of central focus and edges
layer3,890,Cylindrical objects
layer3,891,Vertical lines
layer3,892,People
layer3,893,Black and white colored objects
layer3,894,Diagonal lines
layer3,895,Wheels of a car
layer3,896,Cars
layer3,897,Flowers and balloons
layer3,898,Black and white colored objects
layer3,899,Blue and yellow objects
layer3,900,The bottom of a circle
layer3,901,Curved objects
layer3,902,Bright yellow colored things
layer3,903,Orange and yellow objects
layer3,904,Faces of human beings
layer3,905,Black and white colored objects
layer3,906,This are fishes
layer3,907,Circular objects
layer3,908,Bright yellow colored objects
layer3,909,Circular objects
layer3,910,Black and white colored objects
layer3,911,People
layer3,912,The ground
layer3,913,Top of a building
layer3,914,Poles
layer3,915,Bright yellow colored objects
layer3,916,People
layer3,917,Circular objects
layer3,918,Edges of things
layer3,919,Red objects
layer3,920,Circular objects
layer3,921,People and animals
layer3,922,Kids playing in
layer3,923,Yellow and red objects
layer3,924,The sky and ceiling
layer3,925,Circular shapes objects
layer3,926,Circular objects
layer3,927,Circular objects
layer3,928,Circular objects
layer3,929,Bridges and stairs
layer3,930,Curved objects
layer3,931,Circular objects
layer3,932,People and animals
layer3,933,Circular objects
layer3,934,Bright yellow colored objects
layer3,935,Stripes
layer3,936,Circular objects
layer3,937,Circular objects
layer3,938,Circular objects
layer3,939,Green and brown colored objects
layer3,940,Grass
layer3,941,Circular objects
layer3,942,Animals
layer3,943,Circular objects
layer3,944,Circular objects
layer3,945,Black and white colored objects
layer3,946,People and animals
layer3,947,People
layer3,948,Vehicles
layer3,949,Circular objects
layer3,950,Circular objects
layer3,951,Bright yellow colored objects
layer3,952,Faces of human beings
layer3,953,People and animals
layer3,954,Ice skating rink
layer3,955,Horses and legs
layer3,956,Circular objects
layer3,957,Red and white colored objects
layer3,958,Red colored object with text
layer3,959,Outdoor living things
layer3,960,Flowers and flowers
layer3,961,Bright yellow colored things
layer3,962,Red and yellow objects
layer3,963,Vertical lines
layer3,964,Triangular shapes
layer3,965,Circular objects
layer3,966,White dots on corners
layer3,967,Circular objects
layer3,968,Circular objects
layer3,969,Cylindrical objects
layer3,970,Gray colored objects
layer3,971,Cars and horses
layer3,972,Poles and legs
layer3,973,Circular objects
layer3,974,Black and white colored objects
layer3,975,The sky
layer3,976,The sky
layer3,977,Red objects
layer3,978,Wheels
layer3,979,Wheels of a car
layer3,980,White colored objects
layer3,981,People 's faces
layer3,982,Yellow and blue colored objects
layer3,983,Towers
layer3,984,Heads
layer3,985,Circular objects
layer3,986,Circular objects
layer3,987,Red and white colored objects
layer3,988,Areas around items of central focus and edges
layer3,989,Circular objects
layer3,990,Green grass
layer3,991,The ground
layer3,992,Items of central focus
layer3,993,Bright yellow colored objects
layer3,994,Black and white colored objects
layer3,995,People and animals
layer3,996,Edges of things
layer3,997,Animals
layer3,998,Food
layer3,999,Ice cream
layer3,1000,Balls and balloons
layer3,1001,Items of central focus
layer3,1002,Red and white colored objects
layer3,1003,People
layer3,1004,Circular objects
layer3,1005,Black and white colored objects
layer3,1006,Curved objects
layer3,1007,Grass
layer3,1008,Circular objects
layer3,1009,Windows
layer3,1010,Circular objects
layer3,1011,Circular objects
layer3,1012,Objects with stripes in it
layer3,1013,Black and white colored objects
layer3,1014,Black and white colored objects
layer3,1015,Circular objects
layer3,1016,People
layer3,1017,Bright yellow colored objects
layer3,1018,Circular objects
layer3,1019,Ice
layer3,1020,"Grass, people, clam"
layer3,1021,Flowers or flowers
layer3,1022,Items of central focus
layer3,1023,Horses and bulls
layer4,0,Circular objects
layer4,1,Signs and signs
layer4,2,People
layer4,3,"Water, helicopter, car"
layer4,4,Furniture
layer4,5,Towers and animals
layer4,6,People
layer4,7,Circular objects
layer4,8,Animals
layer4,9,Bridges and gazebos
layer4,10,Circular objects
layer4,11,Bookcases
layer4,12,Food
layer4,13,Animals and blimps
layer4,14,People
layer4,15,Circular objects
layer4,16,Buildings and people
layer4,17,"People, food, animals"
layer4,18,Food
layer4,19,"Food, person, food"
layer4,20,Windows and water
layer4,21,Ghost face
layer4,22,Towers and animals
layer4,23,Nature
layer4,24,People
layer4,25,Poles and legs
layer4,26,Items of central focus
layer4,27,Circular objects
layer4,28,Windows and checkers
layer4,29,Circular objects
layer4,30,Animals and blimps
layer4,31,Circular objects
layer4,32,Towers and animals
layer4,33,People
layer4,34,Bridges and water
layer4,35,Circular objects
layer4,36,Furniture and water
layer4,37,"People, animals"
layer4,38,Animals and blimps
layer4,39,Animals
layer4,40,Circular objects
layer4,41,Circular objects
layer4,42,Items of central focus
layer4,43,Animals
layer4,44,"People, animals"
layer4,45,Furniture
layer4,46,Animals
layer4,47,Areas of central focus
layer4,48,Bridges and gazebos
layer4,49,Windows and signs
layer4,50,Dogs and animals
layer4,51,Circular objects
layer4,52,Curved objects
layer4,53,Circular objects
layer4,54,Balls
layer4,55,Circular objects
layer4,56,Ice cream and animals
layer4,57,People
layer4,58,Green grass
layer4,59,Circular objects
layer4,60,Circular objects
layer4,61,Food and people
layer4,62,Dogs and animals
layer4,63,Animals
layer4,64,Circular objects
layer4,65,Animals
layer4,66,Bookcases
layer4,67,Items of central focus
layer4,68,Furniture and vehicles
layer4,69,Animals and blimps
layer4,70,Animals and blimps
layer4,71,Circular objects
layer4,72,Buildings and vehicles
layer4,73,Balls
layer4,74,Circular objects
layer4,75,Circular objects
layer4,76,Items of central focus
layer4,77,People
layer4,78,Circular objects
layer4,79,Food
layer4,80,Circular objects
layer4,81,Cylindrical objects
layer4,82,Water
layer4,83,Circular objects
layer4,84,Circular objects
layer4,85,Walls
layer4,86,Animals and animals
layer4,87,Animals and animals
layer4,88,Buildings and planes
layer4,89,Water towers and animals
layer4,90,Curved objects
layer4,91,Animals
layer4,92,Animals and animals
layer4,93,Animals and animals
layer4,94,People
layer4,95,Animals
layer4,96,Circular objects
layer4,97,Poles and legs
layer4,98,People
layer4,99,Horses and bulls
layer4,100,Food
layer4,101,Circular objects
layer4,102,People
layer4,103,Animals and blimps
layer4,104,Stairs and chairs
layer4,105,Animals
layer4,106,Circular objects
layer4,107,Animals and blimps
layer4,108,Means of transportation
layer4,109,Animals and animals
layer4,110,Curved objects
layer4,111,Animals and animals
layer4,112,"People, animals"
layer4,113,Human faces
layer4,114,Food
layer4,115,Buildings and shelves
layer4,116,Circular objects
layer4,117,Circular objects
layer4,118,Food
layer4,119,"Trees, people"
layer4,120,Legs and animals
layer4,121,Green grass
layer4,122,People
layer4,123,Circular objects
layer4,124,Buildings and vehicles
layer4,125,Buildings and vehicles
layer4,126,Animals
layer4,127,Vertical lines
layer4,128,"Animals, animals"
layer4,129,People
layer4,130,People
layer4,131,Items of central focus
layer4,132,Items of central focus
layer4,133,Signs and signs
layer4,134,Circular objects
layer4,135,Water
layer4,136,People
layer4,137,People
layer4,138,Circular objects
layer4,139,Horses and animals
layer4,140,"Animals, water, animals"
layer4,141,Items of central focus
layer4,142,Circular objects
layer4,143,Circular objects
layer4,144,Animals and blimps
layer4,145,"People, stairs, stairs"
layer4,146,Circular objects
layer4,147,People
layer4,148,Circular objects
layer4,149,"Water, trees, people"
layer4,150,Towers
layer4,151,Circular objects
layer4,152,Animals
layer4,153,Circular objects
layer4,154,People
layer4,155,Furniture
layer4,156,Animals
layer4,157,Circular objects
layer4,158,Bookcases
layer4,159,"Animal, animal, animal"
layer4,160,People
layer4,161,Animals
layer4,162,Sports stadiums
layer4,163,Buildings
layer4,164,Food
layer4,165,Pools
layer4,166,Chairs and tables
layer4,167,Food
layer4,168,Food
layer4,169,Structures
layer4,170,"Appliances, appliances"
layer4,171,People
layer4,172,Ice cream and animals
layer4,173,Red objects
layer4,174,Circular objects
layer4,175,Circular objects
layer4,176,Dogs and animals
layer4,177,Animals and blimps
layer4,178,Regions with straight features
layer4,179,Water towers and animals
layer4,180,"Water, lava, screen"
layer4,181,Buildings and water
layer4,182,Walls
layer4,183,"Water, animals, people"
layer4,184,People
layer4,185,Circular objects
layer4,186,Circular objects
layer4,187,Tables and chairs
layer4,188,Food
layer4,189,Focuses on faces and pizza
layer4,190,Vehicles and tents
layer4,191,Circular objects
layer4,192,Yellow objects
layer4,193,A watchtower in the distance
layer4,194,Animals and blimps
layer4,195,Animals and animals
layer4,196,Animals
layer4,197,People and vehicles
layer4,198,Yellow and blue colored objects
layer4,199,Items of central focus
layer4,200,Mountains and people
layer4,201,People
layer4,202,Circular objects
layer4,203,Circular objects
layer4,204,Vehicles and people
layer4,205,Food
layer4,206,Horses or legs
layer4,207,Red objects
layer4,208,Animals
layer4,209,Animals and people
layer4,210,Items of central focus
layer4,211,Bridges and gazebos
layer4,212,Animals and animals
layer4,213,People
layer4,214,Circular objects and animals
layer4,215,Items of central focus
layer4,216,Ice cream
layer4,217,Animals and blimps
layer4,218,Tents and tents
layer4,219,Animals and animals
layer4,220,People and animals
layer4,221,Horses and games
layer4,222,People and food
layer4,223,Items of central focus
layer4,224,Circular objects
layer4,225,Towers and animals
layer4,226,Horses and bulls
layer4,227,"Food, water, people"
layer4,228,Circular objects
layer4,229,Animals
layer4,230,Pool tables or pool tables
layer4,231,Animals
layer4,232,Circular objects
layer4,233,People
layer4,234,Circular objects
layer4,235,Circular objects
layer4,236,Green grass
layer4,237,People
layer4,238,Windows and screens
